date,trip_count,avg_trip_duration,median_trip_duration,day_of_week,day_name,month,month_name
2024-01-01,47031,830.1774340753972,536.578,0,Monday,1,January
2024-01-02,67835,707.6467478292916,474.455,1,Tuesday,1,January
2024-01-03,76213,694.3687371183394,473.298,2,Wednesday,1,January
2024-01-04,77272,641.2135226990372,469.116,3,Thursday,1,January
2024-01-05,72233,646.1225090747996,462.306,4,Friday,1,January
2024-01-06,43132,648.0677613836594,458.9755,5,Saturday,1,January
2024-01-07,35574,610.7968077247428,434.4745,6,Sunday,1,January
2024-01-08,78234,659.2737161208681,466.4275,0,Monday,1,January
2024-01-09,42889,605.8684242346523,444.401,1,Tuesday,1,January
2024-01-10,81323,694.2658224364571,489.076,2,Wednesday,1,January
2024-01-11,88921,676.6402103440132,487.687,3,Thursday,1,January
2024-01-12,85744,697.5067171114014,484.3375,4,Friday,1,January
2024-01-13,63676,731.2084409196558,511.226,5,Saturday,1,January
2024-01-14,48781,632.8240158873332,452.406,6,Sunday,1,January
2024-01-15,45411,591.2336705423796,418.947,0,Monday,1,January
2024-01-16,27229,647.2299924345367,451.911,1,Tuesday,1,January
2024-01-17,42553,606.7181681667568,433.912,2,Wednesday,1,January
2024-01-18,55343,602.2416587102254,444.125,3,Thursday,1,January
2024-01-19,43912,565.9659016214247,430.2475,4,Friday,1,January
2024-01-20,37098,571.1541787967006,417.447,5,Saturday,1,January
2024-01-21,36221,587.6776479666493,418.53,6,Sunday,1,January
2024-01-22,60937,589.4178903785878,438.265,0,Monday,1,January
2024-01-23,70511,613.5039837613989,457.056,1,Tuesday,1,January
2024-01-24,65808,607.6028170131291,455.24749999999995,2,Wednesday,1,January
2024-01-25,74664,656.6932599780349,476.5385,3,Thursday,1,January
2024-01-26,72205,639.5679219167648,465.061,4,Friday,1,January
2024-01-27,80020,731.0130350912272,525.8105,5,Saturday,1,January
2024-01-28,29644,591.447533295102,424.3535,6,Sunday,1,January
2024-01-29,70619,614.9156872937878,446.051,0,Monday,1,January
2024-01-30,78101,614.0014165375603,451.371,1,Tuesday,1,January
2024-01-31,82453,615.2352130183256,460.828,2,Wednesday,1,January
2024-02-01,87515,634.9123988916186,468.568,3,Thursday,2,February
2024-02-02,68528,621.1198570949101,453.64750000000004,4,Friday,2,February
2024-02-03,72181,728.9183993433176,509.234,5,Saturday,2,February
2024-02-04,66161,729.1726080470368,510.911,6,Sunday,2,February
2024-02-05,76956,618.1639287255056,454.096,0,Monday,2,February
2024-02-06,81931,617.3839082886819,463.509,1,Tuesday,2,February
2024-02-07,89503,644.0660784442979,473.883,2,Wednesday,2,February
2024-02-08,94757,666.2592075730553,484.877,3,Thursday,2,February
2024-02-09,96994,686.3720387859044,499.04949999999997,4,Friday,2,February
2024-02-10,94326,847.8584298178657,584.0805,5,Saturday,2,February
2024-02-11,76809,714.776487833457,512.57,6,Sunday,2,February
2024-02-12,83630,634.8837636254933,466.68399999999997,0,Monday,2,February
2024-02-13,31930,596.6184213279048,423.2695,1,Tuesday,2,February
2024-02-14,70756,594.4725982814178,443.80899999999997,2,Wednesday,2,February
2024-02-15,75347,610.8996751828208,454.117,3,Thursday,2,February
2024-02-16,75292,629.6937950114223,463.9245,4,Friday,2,February
2024-02-17,37999,636.3021371878207,466.666,5,Saturday,2,February
2024-02-18,46325,670.0503178845116,470.392,6,Sunday,2,February
2024-02-19,58332,662.9337952067475,468.031,0,Monday,2,February
2024-02-20,68331,619.0670585239496,454.555,1,Tuesday,2,February
2024-02-21,74192,625.9526337206167,456.924,2,Wednesday,2,February
2024-02-22,71005,634.1071028519118,462.889,3,Thursday,2,February
2024-02-23,75993,657.7427996920769,474.649,4,Friday,2,February
2024-02-24,71943,724.9280744478268,512.862,5,Saturday,2,February
2024-02-25,57004,695.2214148656235,485.32899999999995,6,Sunday,2,February
2024-02-26,82933,660.7545924059181,478.527,0,Monday,2,February
2024-02-27,78188,668.9458616155931,475.4625,1,Tuesday,2,February
2024-02-28,67402,613.7125650574168,456.9585,2,Wednesday,2,February
2024-02-29,83515,612.9686439082799,458.329,3,Thursday,2,February
2024-03-01,85483,654.500675128388,474.366,4,Friday,3,March
2024-03-02,27993,602.5125622477049,431.842,5,Saturday,3,March
2024-03-03,111658,1015.1992042934676,679.8035,6,Sunday,3,March
2024-03-04,95137,693.1256767398594,488.365,0,Monday,3,March
2024-03-05,50029,598.1667802874333,432.964,1,Tuesday,3,March
2024-03-06,53148,605.1650897493791,444.578,2,Wednesday,3,March
2024-03-07,92723,678.31592935949,491.168,3,Thursday,3,March
2024-03-08,103259,717.778421871217,508.227,4,Friday,3,March
2024-03-09,41941,645.9952564554969,452.566,5,Saturday,3,March
2024-03-10,61509,694.4738645076329,483.611,6,Sunday,3,March
2024-03-11,79816,648.9730618798236,459.9725,0,Monday,3,March
2024-03-12,117415,783.5157648767193,548.267,1,Tuesday,3,March
2024-03-13,118682,747.7759754554187,523.8485000000001,2,Wednesday,3,March
2024-03-14,132153,818.6256307386136,565.714,3,Thursday,3,March
2024-03-15,121538,790.5380611413714,552.6935000000001,4,Friday,3,March
2024-03-16,111939,911.8765596440918,628.571,5,Saturday,3,March
2024-03-17,99820,883.1699129933882,601.476,6,Sunday,3,March
2024-03-18,90068,658.5586992272505,470.328,0,Monday,3,March
2024-03-19,89997,632.9011766947788,462.678,1,Tuesday,3,March
2024-03-20,89305,643.5949318627177,467.544,2,Wednesday,3,March
2024-03-21,82295,618.0644794215931,453.184,3,Thursday,3,March
2024-03-22,83896,653.5165477138362,468.9095,4,Friday,3,March
2024-03-23,23351,608.8259141364396,428.847,5,Saturday,3,March
2024-03-24,70744,766.3402771825172,527.6590000000001,6,Sunday,3,March
2024-03-25,90768,681.6626126167812,482.514,0,Monday,3,March
2024-03-26,101865,668.4196125460168,486.458,1,Tuesday,3,March
2024-03-27,93032,657.8255664072577,477.46349999999995,2,Wednesday,3,March
2024-03-28,54399,604.6945796981562,441.007,3,Thursday,3,March
2024-03-29,96873,739.8201636575723,511.769,4,Friday,3,March
2024-03-30,94771,899.3353585062941,603.136,5,Saturday,3,March
