date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-01-01,75529,22.19614571886295,4.655885024295304,1.5520435727288742,1676452.69,0,Monday,1,January
2024-01-02,73007,21.38506759625789,4.21255413864424,1.4189432265317594,1561259.63,1,Tuesday,1,January
2024-01-03,79958,20.07161572325471,3.9501865979639312,1.3807179933007747,1604886.25,2,Wednesday,1,January
2024-01-04,100149,18.76662512855845,3.3611590729812577,1.3554440880207588,1879458.74,3,Thursday,1,January
2024-01-05,100138,18.152441131238888,3.8272128462721446,1.3719501564022358,1817749.15,4,Friday,1,January
2024-01-06,93769,17.66398724525163,3.195012957373972,1.4583161162793294,1656334.42,5,Saturday,1,January
2024-01-07,65224,19.839679259168403,3.960788820066233,1.4249575740273748,1294023.24,6,Sunday,1,January
2024-01-08,77744,19.089622864786993,3.571164720107018,1.2955501351440437,1484103.64,0,Monday,1,January
2024-01-09,90344,17.23001095811565,3.9529723058531836,1.2732565707726353,1556628.11,1,Tuesday,1,January
2024-01-10,92519,18.213524573330883,3.4066948410596742,1.269680549219454,1685097.08,2,Wednesday,1,January
2024-01-11,102082,18.885138907936756,3.6543310279971,1.2887108154419917,1927832.75,3,Thursday,1,January
2024-01-12,100522,18.862284276078867,4.3260875231292655,1.3550282415868984,1896074.54,4,Friday,1,January
2024-01-13,101605,17.602564834407758,3.848172137197973,1.4433399195323457,1788508.6,5,Saturday,1,January
2024-01-14,91079,18.17354450531956,3.388143479836186,1.4407477454620938,1655228.26,6,Sunday,1,January
2024-01-15,74789,19.644013558143577,3.7996867186350936,1.3647198716885127,1469156.13,0,Monday,1,January
2024-01-16,90229,19.48598610202928,3.7949745647186606,1.275095409824586,1758201.04,1,Tuesday,1,January
2024-01-17,106480,18.479050244177312,3.9366112885048836,1.2823570571771292,1967649.27,2,Wednesday,1,January
2024-01-18,106989,18.197661254895365,3.0753130695678994,1.2746642372233814,1946949.58,3,Thursday,1,January
2024-01-19,93065,17.53566141943803,3.069202707784881,1.3378384411062254,1631956.33,4,Friday,1,January
2024-01-20,104620,16.632801949913976,3.6389489581342,1.4244070843462096,1740123.74,5,Saturday,1,January
2024-01-21,81257,18.783918554709135,4.960319972433145,1.3870766673592354,1526324.87,6,Sunday,1,January
2024-01-22,83070,18.928146141808114,3.4589287348019746,1.265379121902751,1572361.1,0,Monday,1,January
2024-01-23,97005,18.00770341734962,3.0264298747487244,1.2627437564146424,1746837.27,1,Tuesday,1,January
2024-01-24,102443,17.9824246654237,3.574123951856154,1.2621418923005585,1842173.53,2,Wednesday,1,January
2024-01-25,106989,18.603325855929114,4.065477105122957,1.2673297196298063,1990351.23,3,Thursday,1,January
